msv,classID,timeStamp,emotion,diemTB_baitap,soAnhChup,soLanHoc,baiHoanThanh,tbThoiGian1LanHoc,tbThoiGianHoanThanhBai,tbPhanTramMoiLanHoc,tgianHocTrongTuan,tgianHocGioHanhChinh,tgianHocNgoaiHanhChinh,trongTuan,cuoiTuan
student_016,GENE1001-2-3-24(N01),38:23.1,neutral,8,276,169,68,8.6,21.3,45.6,1451,465.1,985.9,536.9,914.1
student_016,GENE1001-2-3-24(N01),38:23.3,neutral,8,276,169,68,8.6,21.3,45.6,1451,465.1,985.9,536.9,914.1
student_016,GENE1001-2-3-24(N01),38:23.3,neutral,8,276,169,68,8.6,21.3,45.6,1451,465.1,985.9,536.9,914.1
student_016,GENE1001-2-3-24(N01),38:23.3,neutral,8,276,169,68,8.6,21.3,45.6,1451,465.1,985.9,536.9,914.1
student_016,GENE1001-2-3-24(N01),38:23.4,neutral,8,276,169,68,8.6,21.3,45.6,1451,465.1,985.9,536.9,914.1
student_016,GENE1001-2-3-24(N01),38:48.2,neutral,8,276,169,68,8.6,21.3,45.6,1451,465.1,985.9,536.9,914.1
student_016,GENE1001-2-3-24(N01),39:03.8,neutral,8,276,169,68,8.6,21.3,45.6,1451,465.1,985.9,536.9,914.1
student_016,GENE1001-2-3-24(N01),39:05.5,neutral,8,276,169,68,8.6,21.3,45.6,1451,465.1,985.9,536.9,914.1
student_016,GENE1001-2-3-24(N01),39:23.4,neutral,8,276,169,68,8.6,21.3,45.6,1451,465.1,985.9,536.9,914.1
student_028,GENE1001-2-3-24(N01),49:25.1,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_027,GENE1001-2-3-24(N01),49:48.3,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),50:29.4,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),52:27.7,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),52:38.4,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_028,GENE1001-2-3-24(N01),55:29.0,neutral,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),55:37.6,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),55:40.2,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_027,GENE1001-2-3-24(N01),57:35.4,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_018,GENE1001-2-3-24(N01),04:57.0,sad,7.2,474,168,63,5.4,14.4,46.1,905.5,475.9,429.6,561.1,344.4
student_028,GENE1001-2-3-24(N01),05:11.7,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),05:13.0,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),05:13.1,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),05:15.4,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_027,GENE1001-2-3-24(N01),05:16.1,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),05:34.3,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),05:39.5,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_025,GENE1001-2-3-24(N01),06:22.9,neutral,6.8,266,134,74,21.6,39,61.1,2888,1015.2,1872.8,2804.2,83.8
student_025,GENE1001-2-3-24(N01),06:42.2,neutral,6.8,266,134,74,21.6,39,61.1,2888,1015.2,1872.8,2804.2,83.8
student_025,GENE1001-2-3-24(N01),07:10.7,neutral,6.8,266,134,74,21.6,39,61.1,2888,1015.2,1872.8,2804.2,83.8
student_027,GENE1001-2-3-24(N01),07:13.1,happy,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),07:26.1,sad,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_027,GENE1001-2-3-24(N01),07:34.1,neutral,9.2,320,194,80,5.4,13,51.1,1040,883,157,616.2,423.8
student_028,GENE1001-2-3-24(N01),07:44.8,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),07:45.2,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
student_028,GENE1001-2-3-24(N01),07:45.3,sad,8.4,337,189,66,4,11.5,41.3,761.8,516.2,245.6,568.7,193.1
